1037592 564436
1042507 180698
1090021 548915
1108270 1102411
1126744 412032
1146683 330847
1151543 880925
1151544 880897
1157484 139433
1161011 586796
1166811 15774
1218209 903119
1224802 139512
1259590 354756
1313906 373234
1317615 1044985
1329602 128025
1336811 129729
1373120 587078
1385968 1311733
1411504 425795
147900 140655
1485986 33316
1492722 607873
152752 152726
1584527 582533
1641760 963141
1641761 1201564
1641763 1201868
1661830 472685
1722487 3649
1731619 1416461
1757483 1757480
1823230 1457395
1825017 543783
1873684 529499
1928757 649073
1975618 7919
2061421 1617978
2097087 2097082
2217644 468716
2243185 684674
2332634 425816
236219 4927
2363069 819095
2375590 611819
2390977 1940645
242243 1060865
2481418 2445849
2489463 2001103
2500590 2110647
2552536 2138408
259037 257187
2654411 2654405
2657610 1674523
267498 1423286
2710716 1032398
2725846 2740711
274003 70414
2788504 2791885
2817401 427110
2834271 856052
2871362 3129754
2877138 2246738
2883250 588293
2921119 2149448
2935856 2935836
2949343 2310344
3087771 1276677
3113701 953265
3120125 2292918
3137596 387022
3137637 1151614
3139170 880897
3141688 3141687
3160474 131879
3249671 1468930
3256348 3094
3269521 2635063
3273050 3271211
3289734 3028855
3302210 2924159
3317036 2889823
3328877 3328871
3377136 2547427
3459363 433472
3462966 3462964
3489992 3489990
3492458 1065512
3494067 3494064
3507827 3408508
3511543 3511542
3531774 694434
3570055 2946401
3570056 243357
3570066 3330058
3572303 2200793
3575024 3574498
3576953 64620
3640768 2899944
3651688 2221052
3676402 3326832
3701813 1826188
3730133 3341828
3780606 933091
3782383 2989545
3907012 2033432
3940117 3409378
3942449 590488
3951157 3184
3968448 2007320
4025087 2664496
4207642 2699697
4219876 387521
4231991 2461895
4305415 3214300
4306150 4306147
4306152 4306148
4316838 3839751
4343831 3640356
4381258 2336634
4391691 4293286
4417474 3866630
4454070 463120
4489165 178853
4497967 1956133
450064 354383
4512944 1461993
4547322 364426
456915 425924
4586522 3976160
4589943 2763638
4606004 723314
4624762 326300
4625914 70623
4627903 2504968
4692002 2214932
4694655 530427
4701319 3363322
470634 470632
4712289 1532851
4755385 1723958
4894921 2512458
4916633 4906613
4925644 451736
4944786 517984
4948648 2020006
4953150 569280
497799 497798
4982894 2149200
4990623 4959871
500518 500514
5007867 459128
5013734 1321886
5023467 1967587
5023630 649178
5028170 4713250
5043418 3044213
5043949 3519267
5093811 2013675
5105070 861608
511194 480792
5115547 995036
5118287 2891588
5122515 5122502
5123204 4033912
5138262 3931377
5158200 1567924
5160617 598307
5165682 4721901
5170314 502228
5172056 1555770
5201059 4578472
5204590 3706012
5224944 5224927
5226024 3533793
5228434 4077099
5241700 127896
5243958 607158
5248449 1153637
5249367 3718864
5256308 660749
5264222 4712288
5265958 4289854
5268135 5268134
5271222 3027250
5279124 5278838
5295765 4648349
5296642 1508454
5305197 3263515
5307381 3026030
5336293 4878139
5351432 4627015
5361453 457467
5362408 2989556
5399307 705537
5427176 2289581
5441092 3610830
5441358 3094
546175 539074
5462077 4279434
5464698 410751
5476704 4550275
5483014 4413610
5496694 5496693
556590 528641
5592156 333631
5594698 4517277
5594873 662123
5594935 1324543
5611881 442192
5637177 58681
5639625 5030887
5646452 1997605
5664997 2834272
5672928 4159974
5680601 2039773
568661 509406
568856 540823
5689105 5047898
5745418 1461968
5749677 632460
5749921 5749919
5749933 5749919
5749936 5749919
5749938 5749919
5749940 5749919
5749945 5749919
5749947 5749919
5749953 5749919
5750075 918586
5759997 5749919
5760001 5759997
5768347 5759997
5768349 5759997
5771390 3819363
5791546 1093594
5791793 5791792
5792140 2602343
5793764 1051695
5796935 1358356
5797471 4012984
5804469 1379561
5807905 828928
5809039 5794748
5809575 5714289
5809810 5759997
5810725 2276525
5813809 5813808
5836128 5828642
5836175 5831021
5836447 647450
5836461 1152575
5849533 1496784
5849535 991690
5849987 5853303
5850144 5850802
5850226 321791
5856398 2548722
5860765 2013564
5868976 5868975
587290 572998
587394 533215
5878711 3622200
592344 587141
593854 522629
620298 362797
673271 543362
675646 360955
705118 591065
717675 717672
746714 373234
842653 536597
863998 479520
912083 4359
922770 649073
986840 589145
