4	564436
33	2053577
78	491190
104	524107
131	5322137
131	7500157
142	2093566
222	547282
265	1565013
270	6373486
303	506445
344	2172726
344	2172727
378	629626
402	587823
415	7526290
437	517180
449	2866896
452	512991
456	1775962
517	490030
524	585253
543	526631
559	1450078
560	1436532
563	4110743
618	490572
652	1391270
673	1840680
673	4510628
710	3167564
712	512262
813	2319481
815	388799
828	494141
866	1089938
970	6550403
976	506445
976	6201436
1011	1644474
1015	491032
1016	5793151
1140	469794
1149	3984009
1156	1579835
1211	4987681
1217	6550026
1229	814008
1229	1213066
1270	349164
1277	491190
1286	563081
1286	1978879
1288	2858145
1292	5035126
1299	6536084
1308	540214
1308	5784939
1312	497773
1312	497798
1312	5030896
1317	5312877
1323	7351102
1329	5794264
1329	5794265
1329	7101905
1339	3326514
1340	2093566
1340	6673117
1368	3951157
1392	1232837
1420	547282
1434	578724
1434	7201186
1435	7522184
1437	884078
1437	6626599
1437	6871505
1463	538478
1468	6373486
1473	593165
1485	1975322
1504	1251788
1520	1038185
1550	7523395
1574	629626
1575	511867
1598	587823
1635	7352075
1647	4930177
1658	494154
1664	5656721
1705	1220155
1705	2453318
1705	6195795
1712	7529882
1715	4913441
1717	4913447
1748	341045
1748	7525902
1754	498734
1754	1450078
1755	1436532
1778	1177945
1785	1234190
1814	1979993
1829	640990
1842	1391270
1852	496713
1855	347697
1855	1665463
1862	4510628
1862	7249673
1872	1211878
1878	1714229
1890	2222788
1898	3167564
1900	6910414
1919	1069992
1926	576868
2026	2575837
2028	2406016
2066	5331841
2068	7521535
2081	491460
2086	340367
2104	491489
2118	2668418
2136	6925400
2175	6201436
2188	495282
2204	491032
2219	511857
2224	577376
2236	517357
2263	7259083
2313	747584
2314	3984009
2321	588224
2335	2096817
2343	7523397
2376	6550026
2389	5494979
2397	517730
2418	703956
2448	491248
2459	7523446
2473	912083
2523	5312877
2535	5794265
2583	468636
2642	6610044
2642	6782161
2642	6886200
2668	1565013
2671	1661821
2759	375944
2759	2499917
2822	512991
2823	1661532
2841	493926
2858	5023189
2881	4913441
2972	541544
3010	491032
3011	5793151
3029	511857
3037	577376
3041	2418888
3086	3515301
3093	342446
3093	2828482
3094	464592
3094	465906
3094	1553329
3094	4345384
3094	5441358
3094	6055144
3094	6055146
3099	1577736
3127	547768
3136	490724
3145	5794265
3153	2034645
3158	490754
3173	490757
3184	1596597
3184	3757324
3188	517207
3193	468636
3210	4916313
3236	547282
3279	1565013
3282	1661821
3288	4916326
3289	593165
3336	1038185
3356	2659041
3373	624420
3384	2548626
3452	583177
3462	2866896
3476	490520
3492	236391
3493	7524724
3494	5325
3494	435255
3494	2693904
3494	3455855
3498	4804657
3508	694423
3510	5077168
3511	99389
3511	2869993
3513	225624
3520	4913422
3521	2240390
3525	139887
3525	473068
3525	533884
3528	7522886
3530	21098
3530	183978
3530	1014812
3533	693478
3535	4913441
3537	1116820
3537	2271842
3537	4211986
3537	4913447
3537	6016372
3543	1202223
3546	1895666
3578	4110743
3630	490572
3636	496896
3649	1722039
3649	1722040
3676	422416
3684	473082
3724	512262
3843	494141
3889	491460
3907	7530198
3908	491475
3913	491489
3913	2495694
3926	2576984
3936	541544
3961	500654
3965	811700
3997	6201436
4021	698521
4036	491032
4037	5793151
4045	7526722
4047	412041
4048	870388
4060	1964234
4078	517357
4118	7525213
4119	2271086
4132	7523445
4134	4159756
4145	1464990
4149	517518
4169	3984009
4175	1579835
4183	3087829
4196	7525214
4197	7523401
4205	6376279
4213	5623428
4233	3400499
4248	337449
4263	495386
4274	517730
4298	5774737
4332	491248
4337	5776417
4345	3217124
4345	7523446
4359	745913
4359	2392707
4359	5020731
4368	914902
4376	490170
4394	919053
4455	495354
4498	1391270
4515	6550403
4517	506445
4517	919053
4675	491248
4701	4853333
4765	2093566
4789	3951157
4915	1204669
4927	135931
4932	350797
4932	354757
5117	2658103
5212	4510628
5325	3494
5349	6885304
5352	3614201
5359	3986609
5412	6805573
5421	2858145
5433	628770
5433	1090438
5441	707182
5441	6296318
5520	1341275
5542	6691443
